id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,bedrooms,bathrooms,squarefootage,lotsize,yearbuilt,status,price,listeddate,daysonmarket,log_price
"2009-Oglesby-Ave,-Winter-Park,-FL-32789","2009 Oglesby Ave, Winter Park, FL 32789",2009 Oglesby Ave,,Winter Park,FL,32789,Orange,28.591574,-81.37677,single_family,3.0,1.0,1318.0,13939.0,1948.0,Active,750000,2023-07-30T00:00:00.000Z,618,13.527829818844937
"2612-Lafayette-Ave,-Winter-Park,-FL-32789","2612 Lafayette Ave, Winter Park, FL 32789",2612 Lafayette Ave,,Winter Park,FL,32789,Orange,28.624099,-81.334327,single_family,3.0,2.0,2447.0,7734.0,1956.0,Active,749900,2024-03-06T00:00:00.000Z,398,13.527696476799726
"2955-Lolissa-Ln,-Winter-Park,-FL-32789","2955 Lolissa Ln, Winter Park, FL 32789",2955 Lolissa Ln,,Winter Park,FL,32789,Orange,28.628548,-81.33041,single_family,4.0,3.0,3902.0,8757.0,1969.0,Active,849000,2024-05-10T00:00:00.000Z,333,13.651815643149092
"1921-Dartmouth-Ave,-Winter-Park,-FL-32789","1921 Dartmouth Ave, Winter Park, FL 32789",1921 Dartmouth Ave,,Winter Park,FL,32789,Orange,28.58374,-81.375693,single_family,3.0,2.0,987.0,6428.0,1956.0,Active,345000,2024-05-03T00:00:00.000Z,340,12.75130259456002
"147-S-Interlachen-Ave,-Apt-400,-Winter-Park,-FL-32789","147 S Interlachen Ave, Apt 400, Winter Park, FL 32789",147 S Interlachen Ave,Apt 400,Winter Park,FL,32789,Orange,28.596968,-81.348877,condo,4.0,3.0,5159.0,10019.0,1990.0,Active,2495000,2024-05-09T00:00:00.000Z,334,14.72979968796928
"700-Melrose-Ave,-Apt-E4,-Winter-Park,-FL-32789","700 Melrose Ave, Apt E4, Winter Park, FL 32789",700 Melrose Ave,Apt E4,Winter Park,FL,32789,Orange,28.58663,-81.359871,condo,2.0,1.0,1035.0,5809.0,1964.0,Active,278000,2024-06-04T00:00:00.000Z,308,12.535379989788607
"2234-Via,-Luna,-Winter-Park,-FL-32789","2234 Via, Luna, Winter Park, FL 32789",2234 Via,Luna,Winter Park,FL,32789,Orange,28.620204,-81.338041,single_family,6.0,5.0,3554.0,13068.0,1998.0,Active,2160000,2024-06-22T00:00:00.000Z,290,14.585619242623203
"151-N-Orlando-Ave,-Apt-131,-Winter-Park,-FL-32789","151 N Orlando Ave, Apt 131, Winter Park, FL 32789",151 N Orlando Ave,Apt 131,Winter Park,FL,32789,Orange,28.599486,-81.366223,condo,2.0,1.0,1000.0,9978.0,1960.0,Active,399999,2024-07-20T00:00:00.000Z,262,12.89921982609012
"311-E-Morse-Blvd,-Apt-7-2,-Winter-Park,-FL-32789","311 E Morse Blvd, Apt 7-2, Winter Park, FL 32789",311 E Morse Blvd,Apt 7-2,Winter Park,FL,32789,Orange,28.598364,-81.348198,condo,1.0,1.0,900.0,120661.0,1960.0,Active,475000,2024-07-15T00:00:00.000Z,267,13.07107218827772
"571-Lake-Front-Blvd,-Winter-Park,-FL-32789","571 Lake Front Blvd, Winter Park, FL 32789",571 Lake Front Blvd,,Winter Park,FL,32789,Orange,28.602878,-81.371585,single_family,7.0,5.0,5500.0,20909.0,2025.0,Active,4200000,2024-07-16T00:00:00.000Z,266,15.250595321348806
