id,formattedaddress,addressline1,addressline2,city,state,zipcode,county,latitude,longitude,propertytype,lotsize,status,price,listeddate,daysonmarket,bedrooms,bathrooms,squarefootage,yearbuilt,log_price
"2847-W-Harwood-Ave,---2847,-Orlando,-FL-32805","2847 W Harwood Ave, # 2847, Orlando, FL 32805",2847 W Harwood Ave,# 2847,Orlando,FL,32805,Orange,28.54859,-81.415465,single_family,7078.0,Active,285000,2024-03-04T00:00:00.000Z,400,4.0,2.0,1450.0,1952.0,12.560247968016562
"33-S-Ortman-Dr,-Orlando,-FL-32805","33 S Ortman Dr, Orlando, FL 32805",33 S Ortman Dr,,Orlando,FL,32805,Orange,28.540801,-81.429194,single_family,34848.0,Active,529000,2024-07-23T00:00:00.000Z,259,3.0,2.0,1818.0,1957.0,13.178745601197818
"1023-W-Gore-St,-Orlando,-FL-32805","1023 W Gore St, Orlando, FL 32805",1023 W Gore St,,Orlando,FL,32805,Orange,28.531362,-81.393952,single_family,6598.0,Active,270000,2024-07-23T00:00:00.000Z,259,3.0,3.0,2578.0,1954.0,12.506180941677357
"3062-Rio-Ln,-Orlando,-FL-32805","3062 Rio Ln, Orlando, FL 32805",3062 Rio Ln,,Orlando,FL,32805,Orange,28.511101,-81.405101,single_family,8251.0,Active,384900,2024-07-11T00:00:00.000Z,271,4.0,2.0,1827.0,1964.0,12.860741437345885
"1424-18th-St,-Orlando,-FL-32805","1424 18th St, Orlando, FL 32805",1424 18th St,,Orlando,FL,32805,Orange,28.522454,-81.399902,single_family,6749.0,Active,385000,2024-08-15T00:00:00.000Z,236,3.0,2.0,1356.0,2021.0,12.861001210669146
"830-Wooden-Blvd,-Orlando,-FL-32805","830 Wooden Blvd, Orlando, FL 32805",830 Wooden Blvd,,Orlando,FL,32805,Orange,28.531438,-81.421483,single_family,10890.0,Active,280000,2024-08-19T00:00:00.000Z,232,3.0,2.0,1128.0,1959.0,12.54254845357358
"715-Jernigan-Ave---A,-Orlando,-FL-32805","715 Jernigan Ave # A, Orlando, FL 32805",715 Jernigan Ave # A,,Orlando,FL,32805,Orange,28.53422,-81.391853,multi-family,2987.0,Active,299990,2024-09-15T00:00:00.000Z,205,2.0,2.0,800.0,1940.0,12.611507753188329
"2771-L-B-Mcleod-Rd,-Apt-C,-Orlando,-FL-32805","2771 L B Mcleod Rd, Apt C, Orlando, FL 32805",2771 L B Mcleod Rd,Apt C,Orlando,FL,32805,Orange,28.511626,-81.412154,condo,6509.0,Active,104900,2024-10-07T00:00:00.000Z,183,2.0,1.0,992.0,1973.0,11.560772327227417
"2149-Monte-Carlo-Trl,-Orlando,-FL-32805","2149 Monte Carlo Trl, Orlando, FL 32805",2149 Monte Carlo Trl,,Orlando,FL,32805,Orange,28.529404,-81.408985,single_family,7563.0,Active,330000,2024-10-16T00:00:00.000Z,174,3.0,2.0,1066.0,1962.0,12.706850963741102
"801-W-Anderson-St,-Orlando,-FL-32805","801 W Anderson St, Orlando, FL 32805",801 W Anderson St,,Orlando,FL,32805,Orange,28.536661,-81.391146,single_family,3978.0,Active,531000,2024-11-07T00:00:00.000Z,152,3.0,2.0,1894.0,2024.0,13.182519183461475
"2022-W-Amelia-St,-Orlando,-FL-32805","2022 W Amelia St, Orlando, FL 32805",2022 W Amelia St,,Orlando,FL,32805,Orange,28.549371,-81.406598,single_family,9065.0,Active,345000,2024-11-21T00:00:00.000Z,138,3.0,2.0,1710.0,1955.0,12.75130259456002
"3910-W-Washington-St,-Orlando,-FL-32805","3910 W Washington St, Orlando, FL 32805",3910 W Washington St,,Orlando,FL,32805,Orange,28.542438,-81.427381,single_family,97139.0,Active,500000,2024-12-05T00:00:00.000Z,124,5.0,3.0,3191.0,1957.0,13.122365377402328
"3898-W-Washington-St,-Orlando,-FL-32805","3898 W Washington St, Orlando, FL 32805",3898 W Washington St,,Orlando,FL,32805,Orange,28.542439,-81.426641,single_family,247421.0,Active,900000,2024-12-05T00:00:00.000Z,124,3.0,1.0,1449.0,1940.0,13.710151153416941
"1028-Federal-St,-Orlando,-FL-32805","1028 Federal St, Orlando, FL 32805",1028 Federal St,,Orlando,FL,32805,Orange,28.548078,-81.39462,multi-family,6431.0,Active,599900,2024-12-07T00:00:00.000Z,122,8.0,4.0,2808.0,1949.0,13.304519920584285
"3149-W-Washington-St,-Orlando,-FL-32805","3149 W Washington St, Orlando, FL 32805",3149 W Washington St,,Orlando,FL,32805,Orange,28.543909,-81.417428,single_family,19602.0,Active,275000,2024-12-11T00:00:00.000Z,118,2.0,1.0,864.0,1950.0,12.524530013005734
"1505-S-Westmoreland-Dr,-Orlando,-FL-32805","1505 S Westmoreland Dr, Orlando, FL 32805",1505 S Westmoreland Dr,,Orlando,FL,32805,Orange,28.524426,-81.392642,single_family,6769.0,Active,349000,2024-12-15T00:00:00.000Z,114,3.0,1.0,1027.0,1958.0,12.762830066509972
"1427-Wilton-Ave,-Orlando,-FL-32805","1427 Wilton Ave, Orlando, FL 32805",1427 Wilton Ave,,Orlando,FL,32805,Orange,28.524538,-81.401816,single_family,6000.0,Active,250000,2024-12-18T00:00:00.000Z,111,3.0,1.0,1220.0,1963.0,12.429220196836383
"100-S-Ortman-Dr,-Orlando,-FL-32805","100 S Ortman Dr, Orlando, FL 32805",100 S Ortman Dr,,Orlando,FL,32805,Orange,28.540701,-81.431081,single_family,11326.0,Active,235000,2024-12-23T00:00:00.000Z,106,3.0,2.0,1024.0,1960.0,12.367345048436391
"2761-L-B-Mcleod-Rd,-Apt-C,-Orlando,-FL-32805","2761 L B Mcleod Rd, Apt C, Orlando, FL 32805",2761 L B Mcleod Rd,Apt C,Orlando,FL,32805,Orange,28.511065,-81.412033,condo,4227.0,Active,99500,2024-12-29T00:00:00.000Z,100,2.0,1.0,992.0,1973.0,11.507922973347437
"1235-19th-St,-Orlando,-FL-32805","1235 19th St, Orlando, FL 32805",1235 19th St,,Orlando,FL,32805,Orange,28.522136,-81.395932,single_family,6750.0,Active,360000,2025-01-02T00:00:00.000Z,96,3.0,2.0,1499.0,2023.0,12.793862088206213
"1804-Mable-Butler-Ave,-Orlando,-FL-32805","1804 Mable Butler Ave, Orlando, FL 32805",1804 Mable Butler Ave,,Orlando,FL,32805,Orange,28.521416,-81.421479,single_family,11761.0,Active,229900,2025-01-07T00:00:00.000Z,91,4.0,3.0,2654.0,1978.0,12.345404060459082
"3108-Lawrence-St,-Orlando,-FL-32805","3108 Lawrence St, Orlando, FL 32805",3108 Lawrence St,,Orlando,FL,32805,Orange,28.542501,-81.416822,single_family,5004.0,Active,149900,2025-01-09T00:00:00.000Z,89,3.0,2.0,920.0,1946.0,11.917730355182513
"907-Columbia-St,-Orlando,-FL-32805","907 Columbia St, Orlando, FL 32805",907 Columbia St,,Orlando,FL,32805,Orange,28.527756,-81.3913,single_family,9598.0,Active,275870,2025-01-08T00:00:00.000Z,90,3.0,2.0,1350.0,1953.0,12.527688644133576
"810-W-Anderson-St,-Orlando,-FL-32805","810 W Anderson St, Orlando, FL 32805",810 W Anderson St,,Orlando,FL,32805,Orange,28.536314,-81.391499,multi-family,2860.0,Active,150000,2025-01-11T00:00:00.000Z,87,2.0,1.0,828.0,1966.0,11.918397239722838
"2706-Alamo-Dr,-Orlando,-FL-32805","2706 Alamo Dr, Orlando, FL 32805",2706 Alamo Dr,,Orlando,FL,32805,Orange,28.51434,-81.387789,single_family,11761.0,Active,509000,2025-01-16T00:00:00.000Z,82,4.0,3.0,1881.0,2025.0,13.140205260167273
"2712-Alamo-Dr,-Orlando,-FL-32805","2712 Alamo Dr, Orlando, FL 32805",2712 Alamo Dr,,Orlando,FL,32805,Orange,28.514175,-81.387788,single_family,11761.0,Active,509000,2025-01-16T00:00:00.000Z,82,4.0,3.0,1881.0,2025.0,13.140205260167273
"637-19th-St,-Orlando,-FL-32805","637 19th St, Orlando, FL 32805",637 19th St,,Orlando,FL,32805,Orange,28.522219,-81.388295,single_family,6729.0,Active,186500,2025-01-19T00:00:00.000Z,79,3.0,2.0,993.0,1958.0,12.136191879981927
"1801-Hage-Way,-Orlando,-FL-32805","1801 Hage Way, Orlando, FL 32805",1801 Hage Way,,Orlando,FL,32805,Orange,28.521115,-81.418883,single_family,9861.0,Active,289900,2025-01-21T00:00:00.000Z,77,2.0,1.0,1505.0,1961.0,12.57729476436913
"1022-Mack-Ave,-Orlando,-FL-32805","1022 Mack Ave, Orlando, FL 32805",1022 Mack Ave,,Orlando,FL,32805,Orange,28.529369,-81.40059,single_family,4180.0,Active,339000,2025-01-28T00:00:00.000Z,70,3.0,2.0,1039.0,2024.0,12.733758336210744
"1721-Grand-St,-Orlando,-FL-32805","1721 Grand St, Orlando, FL 32805",1721 Grand St,,Orlando,FL,32805,Orange,28.52665,-81.403425,single_family,8000.0,Active,212000,2025-01-29T00:00:00.000Z,69,2.0,1.0,1256.0,1936.0,12.264346270624157
"718-32nd-St,-Orlando,-FL-32805","718 32nd St, Orlando, FL 32805",718 32nd St,,Orlando,FL,32805,Orange,28.509811,-81.390205,single_family,13504.0,Active,499000,2025-02-01T00:00:00.000Z,66,3.0,2.0,1779.0,1972.0,13.120363378739663
"105-N-Ortman-Dr,-Orlando,-FL-32805","105 N Ortman Dr, Orlando, FL 32805",105 N Ortman Dr,,Orlando,FL,32805,Orange,28.543848,-81.43011,single_family,5600.0,Active,175000,2025-02-04T00:00:00.000Z,63,2.0,1.0,576.0,1954.0,12.07254696717504
"433-S-Lee-Ave,-Orlando,-FL-32805","433 S Lee Ave, Orlando, FL 32805",433 S Lee Ave,,Orlando,FL,32805,Orange,28.537059,-81.390747,single_family,6339.0,Active,245000,2025-02-08T00:00:00.000Z,59,3.0,1.0,1074.0,1966.0,12.409017571151187
