id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,lotSize,yearBuilt,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,hoa
"4500-S-Hiawassee-Rd,-Orlando,-FL-32835","4500 S Hiawassee Rd, Orlando, FL 32835",4500 S Hiawassee Rd,,Orlando,FL,32835,Orange,28.496617,-81.485463,Single Family,5.0,2.0,2730.0,169884.0,1967.0,Active,1850000,Standard,2017-11-20T00:00:00.000Z,,2020-09-22T02:41:46.939Z,2025-04-25T13:54:55.911Z,2714,StellarMLS,O5316556,"{'name': 'Priya Rajan', 'phone': '3213325820', 'email': 'realtorpriya@hotmail.com'}","{'name': 'Top Line Realty', 'phone': '3213325820', 'email': 'realtorpriya@hotmail.com'}","{'2017-11-20': {'event': 'Sale Listing', 'price': 1850000, 'listingType': 'Standard', 'listedDate': '2017-11-20T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 2714}}",
"425-N-Hiawassee-Rd,-Orlando,-FL-32835","425 N Hiawassee Rd, Orlando, FL 32835",425 N Hiawassee Rd,,Orlando,FL,32835,Orange,28.545865,-81.474654,Land,,,,92783.0,,Active,2400000,Standard,2022-12-16T00:00:00.000Z,,2022-05-19T14:39:55.177Z,2025-04-25T13:53:50.874Z,862,StellarMLS,O6078563,"{'name': 'Yan Lin', 'phone': '3219487300', 'email': 'ylin7229@gmail.com'}","{'name': 'Empire Network Realty', 'phone': '4074403798', 'email': 'empirenetworkrealty@gmail.com', 'website': 'www.empirenetworkrealty.com'}","{'2022-12-16': {'event': 'Sale Listing', 'price': 2400000, 'listingType': 'Standard', 'listedDate': '2022-12-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 862}}",
"6854-W-Livingston-St,-Orlando,-FL-32835","6854 W Livingston St, Orlando, FL 32835",6854 W Livingston St,,Orlando,FL,32835,Orange,28.546371,-81.474288,Land,,,,14810.0,,Active,2400000,Standard,2022-12-16T00:00:00.000Z,,2022-05-24T07:44:48.366Z,2025-04-25T13:53:50.873Z,862,StellarMLS,O6078573,"{'name': 'Yan Lin', 'phone': '3219487300', 'email': 'ylin7229@gmail.com'}","{'name': 'Empire Network Realty', 'phone': '4074403798', 'email': 'empirenetworkrealty@gmail.com', 'website': 'www.empirenetworkrealty.com'}","{'2022-12-16': {'event': 'Sale Listing', 'price': 2400000, 'listingType': 'Standard', 'listedDate': '2022-12-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 862}}",
"421-N-Hiawassee-Rd,-Orlando,-FL-32835","421 N Hiawassee Rd, Orlando, FL 32835",421 N Hiawassee Rd,,Orlando,FL,32835,Orange,28.545507,-81.474665,Land,,,,94525.0,,Active,2400000,Standard,2022-12-16T00:00:00.000Z,,2022-05-24T14:03:45.636Z,2025-04-25T13:53:50.873Z,862,StellarMLS,O6078569,"{'name': 'Yan Lin', 'phone': '3219487300', 'email': 'ylin7229@gmail.com'}","{'name': 'Empire Network Realty', 'phone': '4074403798', 'email': 'empirenetworkrealty@gmail.com', 'website': 'www.empirenetworkrealty.com'}","{'2022-12-16': {'event': 'Sale Listing', 'price': 2400000, 'listingType': 'Standard', 'listedDate': '2022-12-16T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 862}}",
"6119-Metrowest-Blvd,-Unit-106,-Orlando,-FL-32835","6119 Metrowest Blvd, Unit 106, Orlando, FL 32835",6119 Metrowest Blvd,Unit 106,Orlando,FL,32835,Orange,28.515942,-81.464044,Condo,2.0,2.0,1361.0,469.0,2004.0,Active,299000,Standard,2024-01-05T00:00:00.000Z,,2024-01-06T00:00:00.000Z,2025-04-25T13:53:50.838Z,477,StellarMLS,O6168164,"{'name': 'Amy Moline', 'phone': '4074457013', 'email': 'leads+expcorporate377-t-1110@kvcore.com', 'website': 'https://www.keybella.com'}","{'name': 'EXP REALTY LLC', 'phone': '8888838509', 'email': 'a.shahin.broker@exprealty.net'}","{'2024-01-05': {'event': 'Sale Listing', 'price': 299000, 'listingType': 'Standard', 'listedDate': '2024-01-05T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 477}}",{'fee': 435}
"6462-Cantua-Ln,-Unit-107,-Orlando,-FL-32835","6462 Cantua Ln, Unit 107, Orlando, FL 32835",6462 Cantua Ln,Unit 107,Orlando,FL,32835,Orange,28.514364,-81.470389,Condo,2.0,2.0,1438.0,1021.0,2005.0,Active,329000,Standard,2023-11-21T00:00:00.000Z,,2023-11-21T00:00:00.000Z,2025-04-25T13:53:50.835Z,522,StellarMLS,V4933206,"{'name': 'Leo Agabiti', 'phone': '8052527388', 'email': 'leandroagabiti@hotmail.com'}","{'name': 'Home Wise Realty Group, Inc.', 'phone': '4077122000', 'email': 'jonfeshan@aol.com', 'website': 'www.'}","{'2023-11-21': {'event': 'Sale Listing', 'price': 329000, 'listingType': 'Standard', 'listedDate': '2023-11-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 522}}",{'fee': 425}
"1027-S-Hiawassee-Rd,-Apt-2313,-Orlando,-FL-32835","1027 S Hiawassee Rd, Apt 2313, Orlando, FL 32835",1027 S Hiawassee Rd,Apt 2313,Orlando,FL,32835,Orange,28.528803,-81.473225,Condo,2.0,2.0,829.0,3610.0,1989.0,Active,169000,Standard,2023-09-26T00:00:00.000Z,,2022-05-25T11:02:10.484Z,2025-04-25T13:53:50.832Z,578,StellarMLS,O6144700,"{'name': 'Andre Leirias', 'phone': '4076471211', 'email': 'andre.leirias@hotmail.com', 'website': 'https://www.coldwellbankerhomes.com/fl/winter-park/agent/andre-leirias/aid_222889/'}","{'name': 'GOLDEN DOOR REALTY', 'phone': '4077487262', 'email': 'andredsl02@yahoo.com.br'}","{'2023-09-26': {'event': 'Sale Listing', 'price': 169000, 'listingType': 'Standard', 'listedDate': '2023-09-26T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 578}}",{'fee': 442}
"3338-Robert-Trent-Jones-Dr,---20904,-Orlando,-FL-32835","3338 Robert Trent Jones Dr, # 20904, Orlando, FL 32835",3338 Robert Trent Jones Dr,# 20904,Orlando,FL,32835,Orange,28.505799,-81.471162,Condo,3.0,2.0,1391.0,16117.0,2009.0,Active,245000,Standard,2023-12-11T00:00:00.000Z,,2023-12-12T00:00:00.000Z,2025-04-25T13:53:50.799Z,502,StellarMLS,S5096006,"{'name': 'Renata Lazo Pa', 'phone': '4077806422', 'email': 'lazorenata@ymail.com'}","{'name': 'USA DREAMS REALTY CORP.', 'phone': '4077806422', 'email': 'renata@usdreamsrealty.com'}","{'2023-12-11': {'event': 'Sale Listing', 'price': 245000, 'listingType': 'Standard', 'listedDate': '2023-12-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 502}}",{'fee': 607}
"5957-Westgate-Dr,-Apt-1914,-Orlando,-FL-32835","5957 Westgate Dr, Apt 1914, Orlando, FL 32835",5957 Westgate Dr,Apt 1914,Orlando,FL,32835,Orange,28.532594,-81.464151,Condo,2.0,2.0,1077.0,4759.0,1999.0,Active,225000,Standard,2024-03-12T00:00:00.000Z,,2023-11-17T00:00:00.000Z,2025-04-25T13:51:37.416Z,410,MiamiMLS,A11548751,"{'name': 'Kelvin Angulo', 'phone': '7866005667', 'email': 'kelvinangulo@kw.com', 'website': 'https://link.v1ce.co.uk/kelvinangulo'}","{'name': 'Keller Williams Eagle Realty', 'phone': '3057571700', 'email': 'miamibroker@kw.com', 'website': 'kweaglerealty.yourkwoffice.com'}","{'2024-03-12': {'event': 'Sale Listing', 'price': 225000, 'listingType': 'Standard', 'listedDate': '2024-03-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 410}}",{'fee': 306}
"4627-Woodlot-Ct,-Orlando,-FL-32835","4627 Woodlot Ct, Orlando, FL 32835",4627 Woodlot Ct,,Orlando,FL,32835,Orange,28.494054,-81.479601,Single Family,4.0,2.5,3265.0,22216.0,1979.0,Active,1145000,Standard,2024-03-12T00:00:00.000Z,,2021-04-18T15:05:28.673Z,2025-04-25T13:51:37.390Z,410,StellarMLS,O6185740,"{'name': 'Christian Posegger', 'phone': '3212341757', 'email': 'cposegger@yahoo.com'}","{'name': 'De Paula Realty Usa Inc.', 'phone': '3212341757', 'email': 'realtorpaulo@aol.com'}","{'2024-03-12': {'event': 'Sale Listing', 'price': 1145000, 'listingType': 'Standard', 'listedDate': '2024-03-12T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 410}}",{'fee': 33}
