id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,lotSize,status,price,listingType,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,mlsName,mlsNumber,listingAgent,listingOffice,history,bedrooms,bathrooms,squareFootage,yearBuilt,hoa,builder
"2300-Presidio-Pl,-Orlando,-FL-32839","2300 Presidio Pl, Orlando, FL 32839",2300 Presidio Pl,,Orlando,FL,32839,Orange,28.496243,-81.411073,Land,520106.0,Active,980000,Standard,2023-08-18T00:00:00.000Z,,2023-08-19T00:00:00.000Z,2025-04-25T13:53:50.916Z,617,StellarMLS,O6134709,"{'name': 'Chris Pittman', 'phone': '3216981702', 'email': 'chrispittman@remax.net', 'website': 'https://propertiesbypittman.com'}","{'name': 'RE MAX Assured', 'phone': '4076578600', 'email': 'remaxassured@yahoo.com', 'website': 'https://www.homesassured.com/'}","{'2023-08-18': {'event': 'Sale Listing', 'price': 980000, 'listingType': 'Standard', 'listedDate': '2023-08-18T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 617}}",,,,,,
"4424-S-Texas-Ave,-Orlando,-FL-32839","4424 S Texas Ave, Orlando, FL 32839",4424 S Texas Ave,,Orlando,FL,32839,Orange,28.498459,-81.40873,Condo,90169.0,Active,259900,New Construction,2023-10-23T00:00:00.000Z,,2025-02-27T00:00:00.000Z,2025-04-25T13:53:50.794Z,551,StellarMLS,O6149374,"{'name': 'Roberto De Jesus', 'phone': '3058776856', 'email': 'ferrorobert@gmail.com', 'website': 'http://www.everrealty.com'}","{'name': 'Everrealty Investments, LLC', 'phone': '9548595143', 'email': 'roberto@everrealty.com', 'website': 'http://www.everrealty.co'}","{'2023-10-23': {'event': 'Sale Listing', 'price': 259900, 'listingType': 'New Construction', 'listedDate': '2023-10-23T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 551}}",1.0,1.0,774.0,2024.0,{'fee': 122},
"4791-S-Texas-Ave,---4791D,-Orlando,-FL-32839","4791 S Texas Ave, # 4791D, Orlando, FL 32839",4791 S Texas Ave,# 4791D,Orlando,FL,32839,Orange,28.492326,-81.406643,Condo,8101.0,Active,137000,Standard,2024-04-11T00:00:00.000Z,,2024-04-12T00:00:00.000Z,2025-04-25T13:51:37.387Z,380,StellarMLS,O6195434,"{'name': 'Moses Nae', 'phone': '7868737002', 'email': 'moses@taxleaf.com', 'website': 'http://www.miamitangoinvestments.com'}","{'name': 'MIAMI TANGO INVESTMENTS REALTY', 'phone': '7864648803', 'email': 'admin@miamitangoinvestments.com'}","{'2024-04-11': {'event': 'Sale Listing', 'price': 137000, 'listingType': 'Standard', 'listedDate': '2024-04-11T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 380}}",2.0,2.0,976.0,1973.0,{'fee': 409},
"5156-City-St,-Apt-118,-Orlando,-FL-32839","5156 City St, Apt 118, Orlando, FL 32839",5156 City St,Apt 118,Orlando,FL,32839,Orange,28.491476,-81.415015,Condo,11761.0,Active,229900,Standard,2024-05-21T00:00:00.000Z,,2021-11-27T11:11:52.948Z,2025-04-25T13:50:17.358Z,340,StellarMLS,O6207418,"{'name': 'Sandina Alencar De Lira', 'phone': '4079258232', 'email': 'sandinausa@hotmail.com'}","{'name': 'Selecta Realty Llc', 'phone': '4077777131', 'email': 'brunarealtor@gmail.com', 'website': 'www.selectarealty.com'}","{'2024-05-21': {'event': 'Sale Listing', 'price': 229900, 'listingType': 'Standard', 'listedDate': '2024-05-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 340}}",3.0,2.0,1333.0,1997.0,{'fee': 643},
"1419-36th-St,-Orlando,-FL-32839","1419 36th St, Orlando, FL 32839",1419 36th St,,Orlando,FL,32839,Orange,28.506546,-81.400778,Single Family,20038.0,Active,369900,Standard,2024-05-21T00:00:00.000Z,,2022-08-09T08:03:10.737Z,2025-04-25T13:50:17.355Z,340,StellarMLS,S5105325,"{'name': 'Chadia Lutfi', 'phone': '4079569278', 'email': 'floridarealtor11@yahoo.com'}","{'name': 'Varonia Real Estate, Llc', 'phone': '4079569278', 'email': 'floridarealtor11@yahoo.com'}","{'2024-05-21': {'event': 'Sale Listing', 'price': 369900, 'listingType': 'Standard', 'listedDate': '2024-05-21T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 340}}",4.0,2.0,1897.0,1946.0,,
"5038-Downing-St,---7,-Orlando,-FL-32839","5038 Downing St, # 7, Orlando, FL 32839",5038 Downing St,# 7,Orlando,FL,32839,Orange,28.489746,-81.40962,Condo,568.0,Active,210000,Standard,2024-05-19T00:00:00.000Z,,2023-03-19T00:00:00.000Z,2025-04-25T13:50:17.353Z,342,StellarMLS,S5104820,"{'name': 'Marlyn Mercado', 'phone': '3217465323', 'email': 'marilynmercadorealtor@gmail.com'}","{'name': 'LA ROSA REALTY LAKE NONA INC', 'phone': '4072706841', 'email': 'norkisny@gmail.com', 'website': 'joinlarosalakenona.com'}","{'2024-05-19': {'event': 'Sale Listing', 'price': 210000, 'listingType': 'Standard', 'listedDate': '2024-05-19T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 342}}",3.0,2.5,1216.0,1974.0,{'fee': 357},
"1956-Lake-Atriums-Cir,-Apt-141,-Orlando,-FL-32839","1956 Lake Atriums Cir, Apt 141, Orlando, FL 32839",1956 Lake Atriums Cir,Apt 141,Orlando,FL,32839,Orange,28.488908,-81.406183,Condo,9668.0,Active,194000,Standard,2024-05-10T00:00:00.000Z,,2023-01-24T10:29:57.495Z,2025-04-25T13:50:17.286Z,351,StellarMLS,S5104530,"{'name': 'Gilberto Imery', 'phone': '5619275412', 'email': 'gimery@gilvanrealty.com'}","{'name': 'Gilvan Realty Corp', 'phone': '5619275412', 'email': 'doc@gilvanrealty.com'}","{'2024-05-10': {'event': 'Sale Listing', 'price': 194000, 'listingType': 'Standard', 'listedDate': '2024-05-10T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 351}}",3.0,2.0,1158.0,1986.0,{'fee': 390},
"3593-Conroy-Rd,-Apt-437,-Orlando,-FL-32839","3593 Conroy Rd, Apt 437, Orlando, FL 32839",3593 Conroy Rd,Apt 437,Orlando,FL,32839,Orange,28.488995,-81.421353,Condo,13939.0,Active,220000,Standard,2024-06-28T00:00:00.000Z,,2024-07-19T00:00:00.000Z,2025-04-25T13:50:17.205Z,302,StellarMLS,S5107253,"{'name': 'Nidia Perez', 'phone': '7865667745', 'email': 'nidiaperezrealty@gmail.com'}","{'name': 'Empire Network Realty', 'phone': '4074403798', 'email': 'empirenetworkrealty@gmail.com', 'website': 'www.empirenetworkrealty.com'}","{'2024-06-28': {'event': 'Sale Listing', 'price': 220000, 'listingType': 'Standard', 'listedDate': '2024-06-28T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 302}}",2.0,2.0,1174.0,2003.0,{'fee': 538},
"3561-Conroy-Rd,-Apt-227,-Orlando,-FL-32839","3561 Conroy Rd, Apt 227, Orlando, FL 32839",3561 Conroy Rd,Apt 227,Orlando,FL,32839,Orange,28.487508,-81.421102,Condo,13939.0,Active,229000,Standard,2024-07-17T00:00:00.000Z,,2024-07-18T00:00:00.000Z,2025-04-25T13:48:32.211Z,283,StellarMLS,O6216806,"{'name': 'Sandy Ou', 'phone': '4075732121', 'email': 'sandyou.century21@gmail.com', 'website': 'http://www.c21greatmoves.com'}","{'name': 'CENTURY 21 Carioti', 'phone': '8779687221', 'email': 'alcariotic21@gmail.com', 'website': 'https://century21cariotiwindermere.com/'}","{'2024-07-17': {'event': 'Sale Listing', 'price': 229000, 'listingType': 'Standard', 'listedDate': '2024-07-17T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 283}}",2.0,2.0,1174.0,2003.0,{'fee': 539},
"5525-Pga-Blvd,-Apt-4614,-Orlando,-FL-32839","5525 Pga Blvd, Apt 4614, Orlando, FL 32839",5525 Pga Blvd,Apt 4614,Orlando,FL,32839,Orange,28.47871,-81.422669,Condo,7687.0,Active,169999,Standard,2024-07-17T00:00:00.000Z,,2024-07-18T00:00:00.000Z,2025-04-25T13:48:32.209Z,283,StellarMLS,O6222653,"{'name': 'Ellen Sousa', 'phone': '4074464489'}","{'name': 'RRG', 'phone': '4075410779', 'email': 'customerservice.rrg@gmail.com', 'website': 'http://www.radiusrealtyhomes.com'}","{'2024-07-17': {'event': 'Sale Listing', 'price': 169999, 'listingType': 'Standard', 'listedDate': '2024-07-17T00:00:00.000Z', 'removedDate': None, 'daysOnMarket': 283}}",1.0,1.0,657.0,2000.0,{'fee': 215},
