id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,assessorID,lotSize,legalDescription,subdivision,zoning,features,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa
"1108-Doss-Ave,-Orlando,-FL-32809","1108 Doss Ave, Orlando, FL 32809",1108 Doss Ave,,Orlando,FL,32809,Orange,28.468931,-81.395078,Condo,2.0,1.0,789.0,1999.0,22-23-29-2169-01-108,,,,,,,,,,
"5920-Jason-St,-Orlando,-FL-32809","5920 Jason St, Orlando, FL 32809",5920 Jason St,,Orlando,FL,32809,Orange,28.471877,-81.3763,Single Family,1.0,1.0,600.0,,,,,,,,,,,,
"1120-Doss-Ave,-Orlando,-FL-32809","1120 Doss Ave, Orlando, FL 32809",1120 Doss Ave,,Orlando,FL,32809,Orange,28.468946,-81.395257,Condo,2.0,1.0,789.0,1999.0,22-23-29-2169-01-120,,,,,,,,,,
"415-W-Lancaster-Rd,-Apt-5,-Orlando,-FL-32809","415 W Lancaster Rd, Apt 5, Orlando, FL 32809",415 W Lancaster Rd,Apt 5,Orlando,FL,32809,Orange,28.465461,-81.381911,Multi-Family,2.0,1.0,700.0,,,,,,,,,,,,
"1627-W-Oak-Ridge-Rd,-Apt-D,-Orlando,-FL-32809","1627 W Oak Ridge Rd, Apt D, Orlando, FL 32809",1627 W Oak Ridge Rd,Apt D,Orlando,FL,32809,Orange,28.475764,-81.400379,Condo,1.0,1.0,630.0,1969.0,22-23-29-9105-62-704,1293.0,WEATHERLY CONDO AT CENTRAL PARK CB 22/10 UNIT 1627D BLDG 13,WEATHERLY CONDO AT CENTRAL PARK,R-3,"{'architectureType': 'Condo / Apartment', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'heating': True, 'heatingType': 'Forced Air', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 51700, 'land': 10340, 'improvements': 41360}, '2023': {'year': 2023, 'value': 51700, 'land': 10340, 'improvements': 41360}, '2024': {'year': 2024, 'value': 69300, 'land': 13860, 'improvements': 55440}}","{'2022': {'year': 2022, 'total': 817}, '2023': {'year': 2023, 'total': 815}, '2024': {'year': 2024, 'total': 1013}}","{'names': ['JACKOS HOLDINGS LLC'], 'type': 'Organization', 'mailingAddress': {'id': '2151-Consulate-Dr,-STE-14,-Orlando,-FL-32837', 'formattedAddress': '2151 Consulate Dr, STE 14, Orlando, FL 32837', 'addressLine1': '2151 Consulate Dr', 'addressLine2': 'STE 14', 'city': 'Orlando', 'state': 'FL', 'zipCode': '32837'}}",False,
"1130-Doss-Ave,-Orlando,-FL-32809","1130 Doss Ave, Orlando, FL 32809",1130 Doss Ave,,Orlando,FL,32809,Orange,28.468945,-81.39543,Condo,2.0,1.0,789.0,1999.0,22-23-29-2169-01-130,,,,,,,,,,
"6305-Jason-St,-Orlando,-FL-32809","6305 Jason St, Orlando, FL 32809",6305 Jason St,,Orlando,FL,32809,Orange,28.466108,-81.375853,Single Family,2.0,2.0,1105.0,1987.0,,,,,,,,,,,
"1112-Doss-Ave,-Orlando,-FL-32809","1112 Doss Ave, Orlando, FL 32809",1112 Doss Ave,,Orlando,FL,32809,Orange,28.468931,-81.39513,Condo,2.0,1.0,770.0,1999.0,22-23-29-2169-01-112,,,,,,,,,,
"114-E-Wallace-St,-Orlando,-FL-32809","114 E Wallace St, Orlando, FL 32809",114 E Wallace St,,Orlando,FL,32809,Orange,28.470562,-81.374457,Multi-Family,4.0,2.0,1680.0,1987.0,24-23-29-0192-11-020,10472.0,W R ANNOS ADD TO PINECASTLE F/53 LOT 2 BLK 11,ANNO W R ADD TO PINECASTLE,R-3,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageSpaces': 2, 'garageType': 'Carport', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 2}","{'2021': {'year': 2021, 'value': 161421, 'land': 53000, 'improvements': 108421}, '2022': {'year': 2022, 'value': 188555, 'land': 65000, 'improvements': 123555}}","{'2021': {'year': 2021, 'total': 3086}, '2022': {'year': 2022, 'total': 3374}}","{'names': ['WALLACE STREET 114 & 116 LLC'], 'mailingAddress': {'id': '1333-Waterwitch-Cove-Cir,-Orlando,-FL-32806', 'addressLine1': '1333 Waterwitch Cove Cir', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32806'}}",False,
"6301-Jason-St,-Orlando,-FL-32809","6301 Jason St, Orlando, FL 32809",6301 Jason St,,Orlando,FL,32809,Orange,28.466228,-81.375828,Multi-Family,4.0,4.0,2210.0,1987.0,24-23-29-0192-29-040,10355.0,W R ANNOS ADD TO PINECASTLE F/53 LOT 4 BLK 29,ANNO W R ADD TO PINECASTLE,R-3,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle'}","{'2022': {'year': 2022, 'value': 280569, 'land': 65000, 'improvements': 215569}}","{'2022': {'year': 2022, 'total': 4745}}","{'names': ['6301 JASON STREET TRUST'], 'mailingAddress': {'id': 'PO-BOX-601,-Davis,-CA-95617', 'addressLine1': 'PO BOX 601', 'addressLine2': None, 'city': 'Davis', 'state': 'CA', 'zipCode': '95617'}}",False,
"5719-Peninsular-Dr,-Belle-Isle,-FL-32809","5719 Peninsular Dr, Belle Isle, FL 32809",5719 Peninsular Dr,,Belle Isle,FL,32809,Orange,28.475839,-81.358236,Single Family,2.0,1.0,606.0,1925.0,19-23-30-0608-02-060,6412.0,BELLEVIEW PLACE L/111 LOT 6 BLK B,BELLEVIEW PLACE,R-1-AA,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Wood Shingle', 'floorCount': 1, 'garage': True, 'garageSpaces': 1, 'garageType': 'Detached', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2021': {'year': 2021, 'value': 88191, 'land': 70000, 'improvements': 18191}, '2023': {'year': 2023, 'value': 105104, 'land': 80000, 'improvements': 25104}}","{'2021': {'year': 2021, 'total': 1732}, '2023': {'year': 2023, 'total': 2037}}","{'names': ['LINDA S BROWNE'], 'mailingAddress': {'id': '5614-Peninsular-Dr,-Belle-Isle,-FL-32809', 'formattedAddress': '5614 Peninsular Dr, Belle Isle, FL 32809', 'addressLine1': '5614 Peninsular Dr', 'addressLine2': None, 'city': 'Belle Isle', 'state': 'FL', 'zipCode': '32809'}}",False,
"1629-W-Oak-Ridge-Rd,-Apt-B,-Orlando,-FL-32809","1629 W Oak Ridge Rd, Apt B, Orlando, FL 32809",1629 W Oak Ridge Rd,Apt B,Orlando,FL,32809,Orange,28.47594,-81.400456,Single Family,1.0,1.0,630.0,1969.0,,,,,,,,,,,
"5638-Birr-Ct,-Orlando,-FL-32809","5638 Birr Ct, Orlando, FL 32809",5638 Birr Ct,,Orlando,FL,32809,Orange,28.475948,-81.366821,Multi-Family,3.0,1.0,850.0,,,,,,,,,,,,
"415-W-Lancaster-Rd,-Apt-3,-Orlando,-FL-32809","415 W Lancaster Rd, Apt 3, Orlando, FL 32809",415 W Lancaster Rd,Apt 3,Orlando,FL,32809,Orange,28.465461,-81.381911,Multi-Family,2.0,1.0,700.0,,,,,,,,,,,,
"777-W-Lancaster-Rd,-Apt-A7,-Orlando,-FL-32809","777 W Lancaster Rd, Apt A7, Orlando, FL 32809",777 W Lancaster Rd,Apt A7,Orlando,FL,32809,Orange,28.466325,-81.388044,Apartment,1.0,1.0,,,,,,,,,,,,,
"6713-Lodge-Ave,-Orlando,-FL-32809","6713 Lodge Ave, Orlando, FL 32809",6713 Lodge Ave,,Orlando,FL,32809,Orange,28.459336,-81.380726,Single Family,3.0,1.0,950.0,1971.0,26-23-29-8107-12-760,10031.0,SKY LAKE UNIT TEN 2/135 LOT 1276,SKY LAKE UT 10,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'unitCount': 1}","{'2022': {'year': 2022, 'value': 162690, 'land': 60000, 'improvements': 102690}, '2023': {'year': 2023, 'value': 201033, 'land': 80000, 'improvements': 121033}}","{'2022': {'year': 2022, 'total': 2440}, '2023': {'year': 2023, 'total': 2820}}","{'names': ['Richard E Woodward'], 'type': 'Individual', 'mailingAddress': {'id': '7110-Halfpenny-Rd,-Houston,-TX-77095', 'formattedAddress': '7110 Halfpenny Rd, Houston, TX 77095', 'addressLine1': '7110 Halfpenny Rd', 'addressLine2': None, 'city': 'Houston', 'state': 'TX', 'zipCode': '77095'}}",False,
"1629-W-Oak-Ridge-Rd,-Apt-D,-Orlando,-FL-32809","1629 W Oak Ridge Rd, Apt D, Orlando, FL 32809",1629 W Oak Ridge Rd,Apt D,Orlando,FL,32809,Orange,28.47594,-81.400456,Condo,1.0,1.0,630.0,1969.0,,,,,,,,,,,
"5201-Haverill-Dr,-Edgewood,-FL-32809","5201 Haverill Dr, Edgewood, FL 32809",5201 Haverill Dr,,Edgewood,FL,32809,Orange,28.484565,-81.36893,Single Family,4.0,2.0,1920.0,1960.0,,17424.0,,,,,,,,,
