id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,yearBuilt,bedrooms,bathrooms,squareFootage,assessorID,features,lotSize,legalDescription,subdivision,zoning,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa,lastSalePrice
"3500-Millenia-Blvd,-Orlando,-FL-32839","3500 Millenia Blvd, Orlando, FL 32839",3500 Millenia Blvd,,Orlando,FL,32839,Orange County,28.49602,-81.419093,Apartment,2015.0,,,,,,,,,,,,,,,
"4206-Eastgate-Dr,-Orlando,-FL-32839","4206 Eastgate Dr, Orlando, FL 32839",4206 Eastgate Dr,,Orlando,FL,32839,Orange,28.481651,-81.431343,Apartment,2019.0,,,,,,,,,,,,,,,
"4150-Eastgate-Dr,-Orlando,-FL-32839","4150 Eastgate Dr, Orlando, FL 32839",4150 Eastgate Dr,,Orlando,FL,32839,Orange,28.482335,-81.4298,Apartment,2012.0,1.0,1.0,693.0,,,,,,,,,,,,
"3621-Conroy-Rd,-Orlando,-FL-32839","3621 Conroy Rd, Orlando, FL 32839",3621 Conroy Rd,,Orlando,FL,32839,Orange,28.490337,-81.421482,Apartment,,1.0,1.0,782.0,,,,,,,,,,,,
"1989-Americana-Blvd,-Orlando,-FL-32839","1989 Americana Blvd, Orlando, FL 32839",1989 Americana Blvd,,Orlando,FL,32839,Orange,28.48583,-81.40288,Apartment,1973.0,,2.0,,,,,,,,,,,,,
"5009-Park-Central-Dr,-Orlando,-FL-32839","5009 Park Central Dr, Orlando, FL 32839",5009 Park Central Dr,,Orlando,FL,32839,Orange,28.48933,-81.41187,Apartment,1998.0,,,,,,,,,,,,,,,
"5755-Stoneridge-Ct,-Orlando,-FL-32839","5755 Stoneridge Ct, Orlando, FL 32839",5755 Stoneridge Ct,,Orlando,FL,32839,Orange,28.474926,-81.407823,Apartment,1972.0,,,,,,,,,,,,,,,
"4746-S-Rio-Grande-Ave,-Orlando,-FL-32839","4746 S Rio Grande Ave, Orlando, FL 32839",4746 S Rio Grande Ave,,Orlando,FL,32839,Orange,28.49397,-81.40148,Apartment,1974.0,,,,,,,,,,,,,,,
"3751-Conroy-Rd,-Orlando,-FL-32839","3751 Conroy Rd, Orlando, FL 32839",3751 Conroy Rd,,Orlando,FL,32839,Orange,28.488519,-81.42524,Apartment,2003.0,2.0,2.0,1174.0,,,,,,,,,,,,
"5184-Downing-St,-Unit-8,-Orlando,-FL-32839","5184 Downing St, Unit 8, Orlando, FL 32839",5184 Downing St,Unit 8,Orlando,FL,32839,Orange County,28.487723,-81.409687,Townhouse,,3.0,2.5,1216.0,,,,,,,,,,,,
