id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,yearBuilt,squareFootage,lotSize,assessorID,legalDescription,subdivision,zoning,features,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa
"712-Nicolet-Ave,-Winter-Park,-FL-32789","712 Nicolet Ave, Winter Park, FL 32789",712 Nicolet Ave,,Winter Park,FL,32789,Orange,28.590687,-81.364357,Apartment,1.0,1.0,1972.0,,,,,,,,,,,,
"1874-Harmon-Ave,-Winter-Park,-FL-32789","1874 Harmon Ave, Winter Park, FL 32789",1874 Harmon Ave,,Winter Park,FL,32789,Orange,28.585644,-81.374435,Apartment,,,2019.0,,,,,,,,,,,,
"940-W-Canton-Ave,-Winter-Park,-FL-32789","940 W Canton Ave, Winter Park, FL 32789",940 W Canton Ave,,Winter Park,FL,32789,Orange,28.6,-81.36162,Apartment,,,2014.0,,,,,,,,,,,,
"1400-Morgan-Stanley-Ave,-Winter-Park,-FL-32789","1400 Morgan Stanley Ave, Winter Park, FL 32789",1400 Morgan Stanley Ave,,Winter Park,FL,32789,Orange County,28.607151,-81.368484,Apartment,,,2019.0,,,,,,,,,,,,
"1769-Indiana-Ave,-Winter-Park,-FL-32789","1769 Indiana Ave, Winter Park, FL 32789",1769 Indiana Ave,,Winter Park,FL,32789,Orange,28.586768,-81.372879,Townhouse,3.0,2.5,,1616.0,,,,,,,,,,,
"433-W-New-England-Ave,-Winter-Park,-FL-32789","433 W New England Ave, Winter Park, FL 32789",433 W New England Ave,,Winter Park,FL,32789,Orange County,28.596127,-81.355643,Apartment,2.0,1.0,1987.0,,,,,,,,,,,,
"832-Symonds-Ave,-Apt-6,-Winter-Park,-FL-32789","832 Symonds Ave, Apt 6, Winter Park, FL 32789",832 Symonds Ave,Apt 6,Winter Park,FL,32789,Orange,28.598691,-81.36001,Apartment,2.0,1.0,,550.0,,,,,,,,,,,
"2234-Howard-Dr,-Winter-Park,-FL-32789","2234 Howard Dr, Winter Park, FL 32789",2234 Howard Dr,,Winter Park,FL,32789,Orange,28.574262,-81.341051,Single Family,4.0,5.0,2019.0,3295.0,8928.0,17-22-30-4436-02-260,LAKE FOREST PARK S/20 LOT 26 BLK B,LAKE FOREST PARK,R-1A,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'floorCount': 2, 'garage': True, 'garageSpaces': 1, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 1, 'unitCount': 1}","{'2018': {'year': 2018, 'value': 261089, 'land': 143000, 'improvements': 118089}, '2022': {'year': 2022, 'value': 877468, 'land': 225000, 'improvements': 652468}, '2023': {'year': 2023, 'value': 997293, 'land': 225000, 'improvements': 772293}}","{'2022': {'year': 2022, 'total': 13373}, '2023': {'year': 2023, 'total': 15107}}","{'names': ['Raquel M Elliott', 'Jose Benikes'], 'mailingAddress': {'id': '174-W-Comstock-Ave,-STE-210,-Winter-Park,-FL-32789', 'formattedAddress': '174 W Comstock Ave, STE 210, Winter Park, FL 32789', 'addressLine1': '174 W Comstock Ave', 'addressLine2': 'STE 210', 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",False,
"2036-Via,-Tuscany,-Winter-Park,-FL-32789","2036 Via, Tuscany, Winter Park, FL 32789",2036 Via,Tuscany,Winter Park,FL,32789,Orange,28.617215,-81.338953,Single Family,3.0,2.0,1957.0,2148.0,15246.0,32-21-30-8784-02-020,TUSCANIA T/60 LOT 2 BLK B,TUSCANIA,R-1AA,"{'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Concrete Block', 'fireplace': True, 'floorCount': 1, 'garage': True, 'garageType': 'Garage', 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Built-up (Layered Asphalt)', 'unitCount': 1}","{'2023': {'year': 2023, 'value': 864864, 'land': 700000, 'improvements': 164864}}","{'2023': {'year': 2023, 'total': 13218}}","{'names': ['NOT AVAILABLE FROM COUNTY'], 'type': 'Organization'}",False,
"1500-Michigan-Ave-Apt-B,-Winter-Park,-FL-32789","1500 Michigan Ave Apt B, Winter Park, FL 32789",1500 Michigan Ave Apt B,,Winter Park,FL,32789,Orange,28.588411,-81.369227,Multi-Family,4.0,4.0,1970.0,2520.0,16988.0,122229499605110,LAWNDALE H/118 LOTS 11 & 12 BLK E & 25 FT VAC ST E OF SAID LOT 12,LAWNDALE,R-2,"{'architectureType': 'Duplex', 'cooling': True, 'coolingType': 'Wall', 'exteriorType': 'Concrete / Cinder Block', 'floorCount': 1, 'heating': True, 'roofType': 'Galvanized'}","{'2018': {'year': 2018, 'value': 354928}}","{'2018': {'year': 2018, 'total': 6144}}","{'names': ['BRADLEY KLIMKOWSKI'], 'mailingAddress': {'id': '1500-Michigan-Ave-Apt-B,-Winter-Park,-FL-32789', 'addressLine1': '1500 Michigan Ave Apt B', 'addressLine2': None, 'city': 'Winter Park', 'state': 'FL', 'zipCode': '32789'}}",True,
