id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,yearBuilt,bedrooms,bathrooms,squareFootage,lotSize,assessorID,legalDescription,subdivision,zoning,features,taxAssessments,propertyTaxes,owner,ownerOccupied,hoa
"4928-E-Michigan-St,-Orlando,-FL-32812","4928 E Michigan St, Orlando, FL 32812",4928 E Michigan St,,Orlando,FL,32812,Orange,28.51466,-81.326552,Apartment,1990.0,,,,,,,,,,,,,,
"2490-S-Conway-Rd,-Orlando,-FL-32812","2490 S Conway Rd, Orlando, FL 32812",2490 S Conway Rd,,Orlando,FL,32812,Orange County,28.51598,-81.33268,Apartment,1973.0,,,,,,,,,,,,,,
"3502-Bocage-Dr,-Orlando,-FL-32812","3502 Bocage Dr, Orlando, FL 32812",3502 Bocage Dr,,Orlando,FL,32812,Orange,28.500901,-81.332036,Multi-Family,1987.0,2.0,2.0,8704.0,458198.0,08-23-30-0000-00-051,N 914.60 FT OF E1/2 OF NW1/4 OF SE1/4 OF SEC 08-23-30 (LESS R/W ON N & E PER OR 5421/3637 CI97-10080) & (LESS N 152 FT OF W 1,ACREAGE & UNREC,P-D,"{'architectureType': 'Multi-Unit Building', 'cooling': True, 'coolingType': 'Central', 'exteriorType': 'Stucco', 'fireplace': True, 'floorCount': 1, 'heating': True, 'heatingType': 'Forced Air', 'roofType': 'Composition Shingle', 'roomCount': 18, 'unitCount': 7}","{'2022': {'year': 2022, 'value': 18166172, 'land': 2570400, 'improvements': 15595772}, '2023': {'year': 2023, 'value': 18889265, 'land': 2142000, 'improvements': 16747265}}","{'2022': {'year': 2022, 'total': 247023}, '2023': {'year': 2023, 'total': 263599}}","{'names': ['BOCAGE VILLAGE LAND TRUST'], 'mailingAddress': {'id': 'PO-BOX-561079,-Orlando,-FL-32856', 'formattedAddress': 'PO BOX 561079, Orlando, FL 32856', 'addressLine1': 'PO BOX 561079', 'addressLine2': None, 'city': 'Orlando', 'state': 'FL', 'zipCode': '32856'}}",False,
"5300-Lake-Margaret-Dr,-Orlando,-FL-32812","5300 Lake Margaret Dr, Orlando, FL 32812",5300 Lake Margaret Dr,,Orlando,FL,32812,Orange County,28.50347,-81.315564,Apartment,1989.0,,,,,,,,,,,,,,
"2100-S-Conway-Rd,-Orlando,-FL-32812","2100 S Conway Rd, Orlando, FL 32812",2100 S Conway Rd,,Orlando,FL,32812,Orange County,28.518306,-81.333087,Apartment,1977.0,,1.0,,,,,,,,,,,,
"2320-S-Conway-Rd,-Orlando,-FL-32812","2320 S Conway Rd, Orlando, FL 32812",2320 S Conway Rd,,Orlando,FL,32812,Orange County,28.51722,-81.33109,Apartment,1971.0,,,,,,,,,,,,,,
"4229-Parkside-Dr,-Orlando,-FL-32812","4229 Parkside Dr, Orlando, FL 32812",4229 Parkside Dr,,Orlando,FL,32812,Orange,28.499597,-81.332082,Single Family,,2.0,2.0,1092.0,,,,,,,,,,,
"2007-Dixie-Belle-Dr,-Apt-R,-Orlando,-FL-32812","2007 Dixie Belle Dr, Apt R, Orlando, FL 32812",2007 Dixie Belle Dr,Apt R,Orlando,FL,32812,Orange,28.520484,-81.313383,Single Family,,3.0,2.0,1192.0,,,,,,,,,,,
"5250-Tunbridge-Wells-Ln,-Apt-2,-Orlando,-FL-32812","5250 Tunbridge Wells Ln, Apt 2, Orlando, FL 32812",5250 Tunbridge Wells Ln,Apt 2,Orlando,FL,32812,Orange,28.52004,-81.32051,Condo,1993.0,2.0,2.0,1078.0,,,,,,{'architectureType': 'Condo / Apartment'},,,,,
"2065-Dixie-Belle-Dr,-Apt-C,-Orlando,-FL-32812","2065 Dixie Belle Dr, Apt C, Orlando, FL 32812",2065 Dixie Belle Dr,Apt C,Orlando,FL,32812,Orange,28.518568,-81.314047,Condo,,3.0,2.0,993.0,,,,,,,,,,,
"2031-Dixie-Belle-Dr,-Apt-P,-Orlando,-FL-32812","2031 Dixie Belle Dr, Apt P, Orlando, FL 32812",2031 Dixie Belle Dr,Apt P,Orlando,FL,32812,Orange,28.519207,-81.314226,Condo,,1.0,1.5,830.0,,,,,,,,,,,
"5408-E-Michigan-St,-Apt-8,-Orlando,-FL-32812","5408 E Michigan St, Apt 8, Orlando, FL 32812",5408 E Michigan St,Apt 8,Orlando,FL,32812,Orange,28.513467,-81.315951,Single Family,,1.0,1.0,851.0,,,,,,,,,,,
"1928-S-Conway-Rd,-Apt-32,-Orlando,-FL-32812","1928 S Conway Rd, Apt 32, Orlando, FL 32812",1928 S Conway Rd,Apt 32,Orlando,FL,32812,Orange County,28.519187,-81.333397,Condo,1970.0,1.0,1.0,825.0,,,,,,,,,,,
"2041-Dixie-Belle-Dr,-Apt-J,-Orlando,-FL-32812","2041 Dixie Belle Dr, Apt J, Orlando, FL 32812",2041 Dixie Belle Dr,Apt J,Orlando,FL,32812,Orange,28.51794,-81.313257,Condo,,3.0,2.0,993.0,,,,,,,,,,,
"5234-Kempston-Dr,-Orlando,-FL-32812","5234 Kempston Dr, Orlando, FL 32812",5234 Kempston Dr,,Orlando,FL,32812,Orange,28.478972,-81.316049,Single Family,,2.0,1.0,900.0,,,,,,,,,,,
"5314-Kempston-Dr,-Orlando,-FL-32812","5314 Kempston Dr, Orlando, FL 32812",5314 Kempston Dr,,Orlando,FL,32812,Orange,28.477875,-81.316055,Single Family,,2.0,1.0,850.0,,,,,,,,,,,
"5428-E-Michigan-St,-Apt-1,-Orlando,-FL-32812","5428 E Michigan St, Apt 1, Orlando, FL 32812",5428 E Michigan St,Apt 1,Orlando,FL,32812,Orange,28.512915,-81.315633,Condo,1990.0,2.0,2.0,1103.0,,,,,,{'architectureType': 'Condo / Apartment'},,,,,
